X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,email,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,dis_status,POINT_X,POINT_Y
-118.442454212835358,33.943729826304512,143675341,,,Transportation,County Fueling Stations,,B & H,"B &amp; H Dockweiler Beach",8255 Vista Del Mar,,Playa Del Rey,CA,Open 6:00 AM - 2:00 PM M-F,"Contact Name: DC Tarvin<br>
Contact Number: (310) 823-3744",,,"Gasoline 2,000 gallons, Diesel 1,000 gallons",,76205,,90293,http://egis3.lacounty.gov/lms/?p=76205,publish,33.94372986,-118.44245416,2018-03-05T11:55:37.000Z,,6427472.19808489,1802197.80992307
-118.050881357338071,34.14482786695995,143675342,,,Transportation,County Fueling Stations,,Parks & Rec,"Parks &amp; Rec Arcadia Arboretum",301 North Baldwin Ave.,,Arcadia,CA,Restricted Access,"Contact Name: Doug Fryer <br>
Contact Number: (626) 369-5611
",,,"Gasoline 1,000 gallons",,83128,,91007,http://egis3.lacounty.gov/lms/?p=83128,publish,34.1448279,-118.0508813,2018-03-05T12:03:36.000Z,,6546274.81907497,1875089.90987347
-117.930241756748202,33.990476767010911,143675343,,,Transportation,County Fueling Stations,,Parks & Rec,"Parks &amp; Rec Schabarum Park",17250 East Colima Rd,,Roland Heights ,CA,N/A  Restricted for Parks,"Contact Name: Chung Ng <br>
Contact Number: (626) 854-5560",,,"Gasoline 11,000 gallons",,82553,, 91745,http://egis3.lacounty.gov/lms/?p=82553,publish,33.9904768,-117.9302417,2018-03-05T12:05:19.000Z,,6582816.5642328,1818922.00875807
-118.338856256705384,34.112739166543854,143675344,,,Transportation,County Fueling Stations,,Parks & Rec,"Parks &amp; Rec Hollywood Bowl",2301 North Highland Ave,,Los Angeles ,CA,Restricted to Parks vehicles,"Contact Name: Chrissy Whitman <br>
Contact Number: (323) 850-2060",,,"Gasoline 1,000 gallons, Diesel 5,000 gallons",,82551,,90068 ,http://egis3.lacounty.gov/lms/?p=82551,publish,34.1127392,-118.3388562,2018-03-05T12:47:19.000Z,,6459101.08069314,1863581.22685415
-118.056273156273349,34.036210367263124,143675345,,,Transportation,County Fueling Stations,,Parks & Rec,"Parks &amp; Rec Whittier Narrows",750 South Santa Anita Ave.   ,,South El Monte,CA,M-F 6:00am to 2:00pm,"Contact Name: Staff <br>
Contact Number: (626) 575 5526

",,,"Gasoline 4,000 gallons, Diesel 4,000 gallons",,82543,,91733,http://egis3.lacounty.gov/lms/?p=82543,publish,34.0362104,-118.0562731,2018-03-05T12:48:54.000Z,,6544621.25807764,1835562.82324539
-118.615106556568705,34.504579766212878,143675346,,,Transportation,County Fueling Stations,,Parks and Rec,"Parks &amp; Rec Castaic",32132 Castaic Lake drive,,Castaic,CA,M - F 6:00AM - 3:00PM ,"Contact Name: Derrick<br>
Contact Number: (661) 257-4050",,,"Gasoline 6,000 gallons",,81222,,91384,http://egis3.lacounty.gov/lms/?p=81222,publish,34.5045798,-118.6151065,2018-03-05T12:50:12.000Z,,6376355.59165689,2006573.70399198
-118.004456456733806,34.057275366968057,143675347,,,Transportation,County Fueling Stations,,Parks and Rec,"Parks &amp; Rec Cloverleaf",265 Cloverleaf Dr. ,,Baldwin Park,CA,M-F 6:00AM - 3:00PM,"Contact Name: Doug Fryer<br>
Contact Number: (626) 369-5611",,,"Gasoline 2,000 gallons, Diesel 1,000 gallons",,76531,,91706,http://egis3.lacounty.gov/lms/?p=76531,publish,34.0572754,-118.0044564,2018-03-05T13:28:32.000Z,,6560320.51211214,1843224.04676805
-118.280103256481354,33.915818767486719,143675348,,,Transportation,County Fueling Stations,,Parks and Rec,"Parks &amp; Rec El Segundo",360 West El Segundo Blvd. ,,Los Angeles ,CA ,M - F 6:00AM - 3:00PM,"Contact Name: Dwight La Croix<br>
Contact Number: (310) 965-8228",,,"Gasoline 12,000 gallons",,81224,,90061,http://egis3.lacounty.gov/lms/?p=81224,publish,33.9158188,-118.2801032,2018-03-05T13:31:00.000Z,,6476685.43003881,1791863.40670739
-118.22473516561395,33.894082748207573,143675351,,,Transportation,County Fueling Stations,,Sheriff,Sheriff Compton,301 S. Willowbrook,,Compton,CA,Access 24/7,"Contact Name: Kelvin Boagni<br>
Contact Number: (310) 605-6569
",,,"Gasoline15,000 gallons",,76297,,90220,http://egis3.lacounty.gov/lms/?p=76297,publish,33.89408278,-118.22473511,2018-03-06T14:51:05.000Z,,6493466.70651555,1783910.9993839
-118.235876944658045,34.701864822126552,143675352,,,Transportation,County Fueling Stations,,Sheriff,Sheriff Mira Loma Detention Center,45100 N. 60th St West,,Lancaster,CA,Access 24/7,"Contact Name: Louie Hart<br>
Contact Number: (661) 949-3811",,,"Gasoline 8,000 gallons, Diesel 4,000 gallons ",,76295,,93536,http://egis3.lacounty.gov/lms/?p=76295,publish,34.70186486,-118.23587689,2018-03-06T14:53:15.000Z,,6490775.17974639,2077887.19161406
-118.116384658857555,34.585430013991441,143675353,,,Transportation,County Fueling Stations,,Sheriff,Sheriff Palmdale,705 E. Avenue Q,,Palmdale,CA,Access 24/7,"Contact Name: Tracy Meritt<br>
Contact Number: (661) 272-2518",,,"Gasoline 8,000 gallons, Diesel 8,000 gallons",,76293,,93550,http://egis3.lacounty.gov/lms/?p=76293,publish,34.58543005,-118.1163846,2018-03-06T14:55:18.000Z,,6526640.68544306,2035450.34604172
-118.383358742896334,34.084425891404628,143675354,,,Transportation,County Fueling Stations,,Sheriff,Sheriff West Hollywood,720 N. San Vicente Blvd ,,Los Angeles,CA,Access 24/7,"Contact Name: Robert Byrd<br>
Contact Number: (310) 855-8850 Ext. 4015",,,"Gasoline 12,000 gallons, RFID",,76291,,90069,http://egis3.lacounty.gov/lms/?p=76291,publish,34.08442592,-118.38335869,2018-03-06T14:56:44.000Z,,6445591.27470756,1853325.96225972
-117.834480044521456,34.028596297236767,143675355,,,Transportation,County Fueling Stations,,Sheriff,Sheriff Walnut,21695 Valley Blvd,,Walnut,CA,Access 24/7,"Contact Name: Manuel Mendez<br>
Office Number: (909) 595-2264<br>
Contact Number: (909) 859-2868",,,"Gasoline 12,000 gallons",,76289,,91789,http://egis3.lacounty.gov/lms/?p=76289,publish,34.02859633,-117.83447999,2018-03-06T14:57:57.000Z,,6611822.49933106,1832828.43599765
-118.075754602577319,34.102506816833888,143675356,,,Transportation,County Fueling Stations,,Sheriff,Sheriff Temple,8838 E. Las Tunas Dr,,Temple City,CA,Access 24/7,"Contact Name: Yvonne Salas<br>
Office Number: (626) 285-7171<br>
Contact Number: (626) 292-3366",,,"Gasoline 10,000 gallons",,76287,,91780,http://egis3.lacounty.gov/lms/?p=76287,publish,34.10250685,-118.07575455,2018-03-06T14:59:10.000Z,,6538737.14353356,1859693.24217606
-118.02598662676165,33.927172007544975,143675357,,,Transportation,County Fueling Stations,,Sheriff,Sheriff Star Center,11515 S. Colima Rd,,Whittier,CA,Access 24/7,"Contact Name: Caryn Leuschner<br>
Contact Number: (562) 9946-7263",,,"Gasoline 12,000 gallons, Diesel 3,000 gallons",,76285,,90604,http://egis3.lacounty.gov/lms/?p=76285,publish,33.92717204,-118.02598657,2018-03-06T15:00:57.000Z,,6553786.91625547,1795877.72052914
-118.552053050643494,34.416114187423531,143675358,,,Transportation,County Fueling Stations,,Sheriff,Sheriff Santa Clarita,23740 W. Magic Mountain Pkwy,,Valencia,CA,Access 24/7,"Contact Name: Katherine Stone<br>
Office Number:  (661) 255-1121<br>
Contact Number: (661) 799-5126",,,"Gasoline 12,000 gallons",,76283,,91355,http://egis3.lacounty.gov/lms/?p=76283,publish,34.41611422,-118.55205299,2018-03-06T15:02:07.000Z,,6395174.86832272,1974269.37194723
-117.806714057735547,34.10743596714952,143675359,,,Transportation,County Fueling Stations,,Sheriff,Sheriff San Dimas,122 N. San Dimas Ave,,San Dimas,CA,Access 24/7,"Contact Name: Deborah Koontz<br>
Office Number: (909) 450- 2775<br>
Contact Number: (909) 450-2776",,," Gasoline 8,000 gallons",,76281,,91773,http://egis3.lacounty.gov/lms/?p=76281,publish,34.107436,-117.806714,2018-03-06T15:03:20.000Z,,6620180.34514813,1861534.66959555
-118.089816179092779,33.982252122541517,143675360,,,Transportation,County Fueling Stations,,Sheriff,Sheriff Pico Rivera,6631 S. Passons Blvd,,Pico Rivera,CA,Access 24/7,"Contact Name: Cynthia Osorio<br>
Contact Number: (562) 949-2421 Ext. 5549",,,"Gasoline 12,000 gallons",,76279,,90660,http://egis3.lacounty.gov/lms/?p=76279,publish,33.98225215,-118.08981612,2018-03-06T15:04:14.000Z,,6534441.17968455,1815933.71420972
-118.60598275855348,34.464709836858219,143675361,,,Transportation,County Fueling Stations,,Sheriff,Sheriff Pitchess Detention Center,29380 The Old Road,,Castaic,CA,Access 24/7,"Contact Name: Louie Hart<br>
Contact Number: (661) 295-8056",,,"Gasoline 45,000 gallons, Diesel 15,000 gallons",,76277,,91350,http://egis3.lacounty.gov/lms/?p=76277,publish,34.46470987,-118.6059827,2018-03-06T15:06:12.000Z,,6379016.83633439,1992047.7186083
-118.069266656273498,33.914248467067452,143675362,,,Transportation,County Fueling Stations,,Sheriff,Sheriff Norwalk,12335 Civic Center Way,,Norwalk,CA,Access 24/7,"Contact Name: Rashida Reese<br>
Contact Number: (562) 863-8711 Ext. 5475",,,"Gasoline 12,000 gallons",,76275,,90650,http://egis3.lacounty.gov/lms/?p=76275,publish,33.9142485,-118.0692666,2018-03-06T15:07:28.000Z,,6540654.0324163,1791180.7722459
-118.446183693800378,33.970176229991992,143675363,,,Transportation,County Fueling Stations,,Sheriff,Sheriff Marina Del Rey,13851 Fiji Way,,Marina Del Rey,CA,Access 24/7,"Contact Name: Williamson <br>
Contact Number: (310) 482-6094",,,"Gasoline 12,000 gallons",,76256,,90209,http://egis3.lacounty.gov/lms/?p=76256,publish,33.97017626,-118.44618364,2018-03-06T15:09:16.000Z,,6426383.75997305,1811827.13318406
-118.22644435620694,33.928555766774181,143675364,,,Transportation,County Fueling Stations,,Sheriff,Sheriff CRDF,11703 S. Alameda St,,Lynwood,CA,Access 24/7,"Contact Name: Latonya Mills<br>
Office Number: (323) 568-4800<br>
Contact Number: (323) 568-4775",,,"Gasoline 36,000 gallons, Diesel 12,000 gallons",,76254,,90265,http://egis3.lacounty.gov/lms/?p=76254,publish,33.9285558,-118.2264443,2018-03-06T15:11:45.000Z,,6492976.25638098,1796457.65637715
-118.715000754589767,34.137617668026195,143675365,,,Transportation,County Fueling Stations,,Sheriff,Sheriff Lost Hills,27050 Agoura Rd,,Agoura,CA,Access 24/7,"Contact Name: Rauchfleisch<br>
Office Number: (818) 878-1808<br>
Contact Number: (818) 878-5566
",,,"Gasoline 12,000 gallons",,76252,,91301,http://egis3.lacounty.gov/lms/?p=76252,publish,34.1376177,-118.7150007,2018-03-06T15:44:11.000Z,,6345310.75938971,1873231.59173973
-118.320556428063426,33.785401000237783,143675366,,,Transportation,County Fueling Stations,,Sheriff,Sheriff Lomita,26123 S. Narbonne Ave,,Lomita,CA,Access 24/7,"Contact Name: Patrick Duran<br>
Office Number: (310) 539-1661<br>
Contact Number: (310) 891-3254",,,"Gasoline 12,000 gallons",,76250,,90717,http://egis3.lacounty.gov/lms/?p=76250,publish,33.78540103,-118.32055637,2018-03-06T15:45:34.000Z,,6464260.38861597,1744437.9956529
-118.351823056473933,33.938699966771509,143675367,,,Transportation,County Fueling Stations,,Sheriff,Sheriff Lennox,4331 Lennox Blvd ,,Inglewood,CA,Access 24/7,Contact Number: (310) 680-5703,,,"Gasoline 11,000 gallons",,76248,,90304,http://egis3.lacounty.gov/lms/?p=76248,publish,33.9387,-118.351823,2018-03-06T15:46:30.000Z,,6454954.46037747,1800258.7383419
-118.137744557836612,34.699029866174556,143675368,,,Transportation,County Fueling Stations,,Sheriff,Sheriff Lancaster,501 W. Lancaster Blvd,,Lancaster,CA,Access 24/7,"Contact Name: Michael Wood<br>
Office Number: (661) 948-8466<br>
Contact Number: (661) 524-2176",,,"Gasoline 12,000 gallons",,76246,,93534,http://egis3.lacounty.gov/lms/?p=76246,publish,34.6990299,-118.1377445,2018-03-06T15:47:20.000Z,,6520268.40258397,2076800.64883964
-117.958510910635226,34.024942111318012,143675369,,,Transportation,County Fueling Stations,,Sheriff,Sheriff Industry,150 N. Hudson Ave,,Industry,CA,Access 24/7,"Contact Name: Kathy Sharp<br>
Office Number: (626) 330-3322<br>
Contact Number: (626) 934-3034",,,"Gasoline 12,000 gallons",,76244,,91744,http://egis3.lacounty.gov/lms/?p=76244,publish,34.02494214,-117.95851085,2018-03-06T15:48:41.000Z,,6574241.99608013,1831459.90494207
-118.157937856804111,34.034125967105162,143675370,,,Transportation,County Fueling Stations,,Sheriff,Sheriff East Los Angeles,5019 E. Third St,,Los Angeles,CA,Access 24/7,"Contact Name: Michalle Moreno<br>
Office Number: (323) 264-4151<br>
Contact Number: (323) 981-5012",,,"Gasoline 12,000 gallons",,76242,,90022,http://egis3.lacounty.gov/lms/?p=76242,publish,34.034126,-118.1579378,2018-03-06T15:50:06.000Z,,6513818.71108705,1834837.08847639
-118.230310152547005,34.220773336580812,143675371,,,Transportation,County Fueling Stations,,Sheriff,Sheriff Crescenta Valley,4554 N. Briggs St,,La Crescenta,CA,Access 24/7,"Contact Name: Deanna Hammerli<br>
Contact Number: (818) 236-4034",,,"Gasoline 12,000 gallons",,76240,,91214,http://egis3.lacounty.gov/lms/?p=76240,publish,34.22077337,-118.2303101,2018-03-06T15:51:06.000Z,,6492047.18671681,1902803.70615181
-118.232030387964144,34.059660904202993,143675372,,,Transportation,County Fueling Stations,,Sheriff,Sheriff Central Jail,441 S. Bauchet St,,Los Angeles,CA,Access 24/7,"Contact Name: Kelly Walper<br>
Contact Number: (213) 974-4242",,,"Gasoline 12,000 gallons, Diesel 12,000 gallons",,76236,,90012,http://egis3.lacounty.gov/lms/?p=76236,publish,34.05966094,-118.23203033,2018-03-06T15:52:33.000Z,,6491391.81663647,1844173.27091947
-118.261740412759266,33.834202142413737,143675373,,,Transportation,County Fueling Stations,,Sheriff,Sheriff Carson,21356 S. Avalon Blvd,,Carson,CA,Access 24/7,"Contact Name: Martin Fawcett<br>
Contact Number: (310) 830-1123 Ext. 3291",,,"Gasoline 12,000 gallons",,76234,,90745,http://egis3.lacounty.gov/lms/?p=76234,publish,33.83420218,-118.26174036,2018-03-06T15:54:03.000Z,,6482179.46662289,1762146.21745422
-118.298381256546932,33.929875066667265,143675374,,,Transportation,County Fueling Stations,,Sheriff,Sheriff Athens Station,1310 W Imperial Hwy,,Los Angeles,CA,Access 24/7,"Contact Name: Carter <br>
Contact Number (323) 820-6700",,,"Gasoline 16,000 gallons",,82546,,90044,http://egis3.lacounty.gov/lms/?p=82546,publish,33.9298751,-118.2983812,2018-03-06T15:54:46.000Z,,6471154.98145406,1796994.74716648
-118.132798546679084,34.189568145547533,143675375,,,Transportation,County Fueling Stations,,Sheriff,Sheriff Altadena,780 E. Altadena Dr,,Altadena,CA,Access 24/7,"Contact Name: Kerri Smith<br>
Office Number: (626) 798-1131<br>
Contact Number: (626) 296-2108",,,"Gasoline 12,000 gallons",,76232,,91002,http://egis3.lacounty.gov/lms/?p=76232,publish,34.18956818,-118.13279849,2018-03-06T15:55:51.000Z,,6521510.08710846,1891394.3415034
-118.132671303186171,33.851370114669265,143675376,,,Transportation,County Fueling Stations,,Sheriff,Sheriff Lakewood,5130 N. Clark  Ave,,Lakewood,CA,Access 24/7,"Contact Name: Jaime Granados<br>
Contact Number: (562) 623-3642",,,"Gasoline 16,000 gallons",,76201,,90712,http://egis3.lacounty.gov/lms/?p=76201,publish,33.85137015,-118.13267125,2018-03-06T15:59:11.000Z,,6521386.12541413,1768317.17328815
-118.115028057574392,34.575210966517744,143675377,,,Transportation,County Fueling Stations,,DPW,DPW Palmdale,38126 North Sierra Hwy. ,,Palmdale,CA,M - F 6:00AM TO 3:00PM,"Contact Name:  Jeff Davis <br>
Contact Number: (661) 274-8248",,,"Gasoline 10,000 gallons, Diesel 10,000 gallons",,81565,,93550,http://egis3.lacounty.gov/lms/?p=81565,publish,34.575211,-118.115028,2018-03-07T12:48:04.000Z,,6527044.74172156,2031730.90531789
-117.978895057645232,34.543429966589905,143675378,,,Transportation,County Fueling Stations,,DPW,DPW Little Rock,8505 E Ave T ,,Little Rock ,CA,M-TH 6:00 AM TO 4:30PM,"Contact Name:  Andy Hernandez <br>
Contact Number: (661) 944-1508",,,"Gasoline 5,000 gallons, Diesel 5,000 gallons",,81491,,93543,http://egis3.lacounty.gov/lms/?p=81491,publish,34.54343,-117.978895,2018-03-07T12:50:45.000Z,,6568025.74834205,2020145.86877672
-118.003139056408671,34.112342967417604,143675379,,,Transportation,County Fueling Stations,,DPW,DPW Longden,160 E. Longden Ave.,,Irwindale,CA,M-F  7:00AM to 3:00PM,"Contact Name: Ed Zargarian <br>
Contact Number: (626) 445-7630",,,"Gasoline 12,000 gallons, Diesel 4,000 gallons",,80312,,91706,http://egis3.lacounty.gov/lms/?p=80312,publish,34.112343,-118.003139,2018-03-07T13:06:53.000Z,,6560720.1694493,1863264.17499481
-118.09299205733241,34.170247966596385,143675380,,,Transportation,County Fueling Stations,,DPW,DPW Eaton,2986 New York Dr.,,Pasadena,CA,M-F 7:00AM to 3:00PM,"Contact Name: Frank Kromka <br>
Contact Number: (626) 798-6761",,,"Gasoline 4,000 gallons, Diesel 2,000 gallons",,80971,,91107,http://egis3.lacounty.gov/lms/?p=80971,publish,34.170248,-118.092992,2018-03-07T13:11:28.000Z,,6533541.65326838,1884349.86149789
-117.896326156950067,34.163592367234756,143675381,,,Transportation,County Fueling Stations,,DPW,DPW San Gabriel Dam, 9700 N. San Gabriel Canyon,, Azusa ,CA,N/A Restricted for DPW,"Contact Name: Staff
Contact Number:  (626) 910-1123",,,"Gasoline 1,000 gallons",,82555,,91702,http://egis3.lacounty.gov/lms/?p=82555,publish,34.1635924,-117.8963261,2018-03-07T13:27:55.000Z,,6593032.60974555,1881930.9332649
-118.084302857339424,34.237587966284885,143675382,,,Transportation,County Fueling Stations,,DPW,DPW Mount Wilson,817 Mount Wilson Red Box Rd. ,,Mount Wilson ,CA,M - F 6:00AM TO 3:00PM,"Contact Name:  Todd Smith <br>
Contact Number: (626) 458-5920",,,"Gasoline 2,000 gallons, Diesel 2,000 gallons",,81561,,91023,http://egis3.lacounty.gov/lms/?p=81561,publish,34.237588,-118.0843028,2018-03-07T13:29:22.000Z,,6536190.55610706,1908853.77869731
-118.850422355596208,34.795974065251443,143675383,,,Transportation,County Fueling Stations,,DPW,DPW Gorman,49350 Gorman Post Rd.,,Gorman,CA,M-TH 6:00 AM TO 4:30PM,"Call for Access <br>
Contact Name:  Juvenal Arroyo  <br>
Contact Number: (661) 257-0817",,,"Diesel 1,000 gallons",,81485,,93243,http://egis3.lacounty.gov/lms/?p=81485,publish,34.7959741,-118.8504223,2018-03-07T13:31:52.000Z,,6306360.04201572,2113133.59815523
-118.105161057048974,34.451805965935534,143675384,,,Transportation,County Fueling Stations,,DPW,DPW Mill Creek,27500 Angeles Forrest Hwy. ,,Palmdale,CA,M-THU 6:00AM TO 4:30PM,"Contact Name: Paul Funk <br>
Contact Number: (661) 272-0817",,,"Gasoline 3,000 gallons, Diesel 5,000 gallons",,81390,,93550,http://egis3.lacounty.gov/lms/?p=81390,publish,34.451806,-118.105161,2018-03-07T13:34:45.000Z,,6529967.90943164,1986817.73398957
-118.255006056739077,34.223058966636572,143675385,,,Transportation,County Fueling Stations,,DPW,DPW La Crescenta,3916 Dunsmore Ave.,,La Crescenta,CA,M-F 7:00AM to 3:00PM,"Contact Name: Gil Ramirez <br>
Contact Number: (818) 249-3094",,,"Gasoline 3,000 gallons, Diesel 3,000 gallons",,80975,,91014,http://egis3.lacounty.gov/lms/?p=80975,publish,34.223059,-118.255006,2018-03-07T13:38:11.000Z,,6484583.6977068,1903653.50792989
-118.068393057237557,34.094058966764585,143675386,,,Transportation,County Fueling Stations,,DPW,DPW Temple City,5213 N. Encinitas Ave.,,Temple City ,CA,M-F 7:00AM to 3:00PM,"Contact Name: Larry Vega <br>
Contact Number: (626) 286-3173",,,"Gasoline 3,000 gallons, Diesel 3,000 gallons",,80967,,90265,http://egis3.lacounty.gov/lms/?p=80967,publish,34.094059,-118.068393,2018-03-07T13:41:56.000Z,,6540963.61316197,1856617.31394473
-117.970682056534343,34.027765967025047,143675387,,,Transportation,County Fueling Stations,,DPW,DPW La Puente,14959 Proctor Ave.,,La Puente ,CA,M-F 7:00AM to 3:00PM,"Contact Name: Stuart Lillich <br>
Contact Number: (626) 968-3312",,,"Gasoline 3,000 gallons, Diesel 3,000 gallons",,80965,,91744,http://egis3.lacounty.gov/lms/?p=80965,publish,34.027766,-117.970682,2018-03-07T13:43:44.000Z,,6570553.70555647,1832486.26312555
-118.312276055959856,33.804301967096812,143675388,,,Transportation,County Fueling Stations,,DPW,DPW Lomita,24309 Walnut St.,,Lomita,CA,M-TH  6:30AM - 6:00PM,"Contact Name: Parris Broughton<br>
Contact Number: (310) 326-3881
",,,"Gasoline 2,000 gallons, Diesel 2,000 gallons",,80296,,90717,http://egis3.lacounty.gov/lms/?p=80296,publish,33.804302,-118.312276,2018-03-07T14:00:53.000Z,,6466797.97048305,1751308.62528431
-118.34553705601445,33.894935966693133,143675389,,,Transportation,County Fueling Stations,,DPW,DPW Lawndale,4055 Marine Ave.,,Lawndale ,CA,M-F 7:00AM to 3:00PM,"Contact Name: Parris Broughton<br>
Contact Number: (310) 326-3881",,,"Gasoline 2,000 gallons, Diesel 2,000 gallons",,80955,,90260,http://egis3.lacounty.gov/lms/?p=80955,publish,33.894936,-118.345537,2018-03-07T14:02:05.000Z,,6456806.39007255,1784325.49953914
-118.255699856403183,33.987431766783459,143675467,,,Transportation,County Fueling Stations,,DPW,DPW 59th Street,1129 E. 59 St. ,,Los Angeles,CA,M-F 7:00AM to 3:00PM,"Contact Name: Paul Bradford<br>
Contact Number: (323) 233-3330",,,"Gasoline 2,000 gallons, Diesel 1,000 gallons",,80953,,90001,http://egis3.lacounty.gov/lms/?p=80953,publish,33.9874318,-118.2556998,2018-10-02T10:06:07.000Z,,6484155.83865438,1817905.11971572
-118.233480056265506,33.954664667054296,143675468,,,Transportation,County Fueling Stations,,DPW,DPW 90th Street,2120 East 90th St. ,,Los Angeles,CA,M-F 7:00AM to 3:00PM,"Contact Name: Joe Gonzales<br>
Contact Number: (323) 582-7848",,,"Gasoline 3,000 gallons, Diesel 3,000 gallons",,80959,,90002,http://egis3.lacounty.gov/lms/?p=80959,publish,33.9546647,-118.23348,2018-10-02T10:13:44.000Z,,6490863.98206222,1805964.11833531
